상가업소번호,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시군구명,행정동코드,행정동명,법정동명,도로명주소,경도,위도
MA0101202310A0034302,지에스25경주천북,로드점,소매,종합 소매,편의점,체인화 편의점,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 천강로 323,129.2862375,35.91607983
MA0101202406A0278707,엠씨와이캠프,,예술·스포츠,스포츠 서비스,수영장,수영장 운영업,경주시,47130660,보덕동,손곡동,경상북도 경주시 천북남로 196,129.2958444,35.85601446
MA0101202310A0093583,쎈놈,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,경주시,47130621,황성동,황성동,경상북도 경주시 황성로64번길 9-9,129.218387,35.86783223
MA0101202310A0056032,행텐모다경주,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4930,129.2443558,35.91641987
MA0101202310A0026725,에비앙노래클럽,,음식,주점,일반 유흥 주점,일반 유흥 주점업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 251,129.2239582,35.8552678
MA0101202310A0008411,버텍스경주점,,음식,일식,일식 회/초밥,일식 음식점업,경주시,47130630,동천동,동천동,경상북도 경주시 동천로 57,129.2264818,35.85289635
MA0101202311A0031742,새우치킨덤외동입실점,,음식,기타 간이,치킨,치킨 전문점,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 본동길 11,129.3310698,35.71506377
MA0101202310A0024272,경주북카페러리멘토즈스터디카페,황성점,예술·스포츠,도서관·사적지,독서실/스터디 카페,독서실 운영업,경주시,47130621,황성동,황성동,경상북도 경주시 원지길12번길 31,129.2195436,35.86563936
MA0101202310A0081785,이층약국,,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,경주시,47130550,성건동,성건동,경상북도 경주시 원효로51번길 12,129.2066258,35.84329726
MA0101202311A0051000,꽉포차,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130550,성건동,석장동,경상북도 경주시 석장길 47-1,129.1915818,35.86081874
MA0101202311A0092076,경주신계풀빌라,,숙박,일반 숙박,펜션,민박업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 신계상신길 102-40,129.3349466,35.7687442
MA0101202310A0060604,라쿠스호텔,,숙박,일반 숙박,호텔/리조트,호텔업,경주시,47130650,불국동,진현동,경상북도 경주시 진현로2길 11,129.3235432,35.78339067
MA0101202310A0044636,경도미야꼬우동,,음식,일식,일식 면 요리,일식 음식점업,경주시,47130615,용강동,용강동,경상북도 경주시 용황로 59,129.2244323,35.88330836
MA0101202311A0027699,더벤티,황성점,음식,비알코올 ,카페,커피 전문점,경주시,47130621,황성동,황성동,경상북도 경주시 황성로 34-4,129.2149797,35.86592185
MA0101202310A0084877,제이테크,,시설관리·임대,고용 알선,상용 인력 공급 및 인사관리 서비스업,상용 인력 공급 및 인사관리 서비스업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 읍청사로 13,129.3287684,35.71646891
MA0101202310A0035512,봄한의원,,보건의료,의원,한의원,한의원,경주시,47130590,선도동,충효동,경상북도 경주시 충효3길 23-2,129.1860984,35.84373569
MA0101202406A0192502,참다방,,음식,비알코올 ,카페,커피 전문점,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 비화중로2길 46,129.223677,35.98918442
MA0101202311A0017537,입실잡곡,,소매,식료품 소매,곡물/곡분 소매업,곡물; 곡분 및 가축 사료 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 입실시장길 8-3,129.3261834,35.71496014
MA0101202311A0072194,이백칼국수,,음식,한식,국수/칼국수,한식 면 요리 전문점,경주시,47130360,현곡면,현곡면,경상북도 경주시 현곡면 안현로 54-9,129.205533,35.87135782
MA0101202310A0017242,큐사랑팡팡,,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 안강중앙로 204-1,129.2224601,35.99244165
MA0101202310A0068468,큐사랑경주충효점,,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,경주시,47130590,선도동,충효동,경상북도 경주시 충효5길 9-19,129.1781234,35.84469152
MA0101202310A0024104,경주황리단풀빌라,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130570,황남동,율동,경상북도 경주시 화계로 749-2,129.1784815,35.79546045
MA0101202310A0050636,꽃길93,,소매,식물 소매,꽃집,화초 및 식물 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 원효로105번길 7,129.21247,35.842541
MA0101202310A0036632,찐밧데리,,소매,자동차 부품 소매,자동차 부품 소매업,자동차 중고 부품 및 내장품 판매업,경주시,47130550,성건동,성건동,경상북도 경주시 화랑로 35-1,129.2046684,35.84494608
MA0101202310A0027783,푸른향기,,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,경주시,47130630,동천동,동천동,경상북도 경주시 북천길 52,129.223387,35.85185442
MA0101202310A0011218,디바인,,음식,주점,요리 주점,기타 주점업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 419,129.2066124,35.8551913
MA0101202310A0069539,형제반점,,음식,중식,중국집,중식 음식점업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포로 94,129.5017172,35.80250095
MA0101202310A0027976,경주잇다스테이,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130650,불국동,진현동,경상북도 경주시 진티1길 28,129.3259069,35.78026343
MA0101202310A0071337,주주김밥,,음식,기타 간이,김밥/만두/분식,한식 일반 음식점업,경주시,47130650,불국동,진현동,경상북도 경주시 불국신택지4길 17,129.3261874,35.78457393
MA0101202406A0289417,고냅브로시스,,음식,비알코올 ,카페,커피 전문점,경주시,47130530,황오동,성동동,경상북도 경주시 양정로 132-3,129.2207981,35.84593742
MA0101202311A0072774,하삼동커피경주,중앙점,음식,비알코올 ,카페,커피 전문점,경주시,47130530,황오동,서부동,경상북도 경주시 금성로 308,129.2072504,35.84506986
MA0101202406A0387370,황오부엌,,음식,서양식,경양식,서양식 음식점업,경주시,47130530,황오동,황오동,경상북도 경주시 원효로 154-15,129.2178581,35.84130632
MA0101202406A0516204,경주착한보쌈,,음식,한식,족발/보쌈,한식 일반 음식점업,경주시,47130530,황오동,노서동,경상북도 경주시 금성로247번길 38,129.2031324,35.83982929
MA0101202310A0026698,미라클,,숙박,일반 숙박,펜션,민박업,경주시,47130660,보덕동,천군동,경상북도 경주시 천군1길 12-45,129.2750782,35.83423526
MA0101202311A0066546,우마왕한우샌드,,소매,식료품 소매,반찬/식료품 소매업,기타 식료품 소매업,경주시,47130570,황남동,황남동,경상북도 경주시 첨성로99번길 30-7,129.2131282,35.8355638
MA0101202406A0413653,라멘집,,음식,일식,일식 면 요리,한식 일반 음식점업,경주시,47130530,황오동,성동동,경상북도 경주시 북성로 115,129.2143729,35.84729949
MA0101202406A0140763,프레스토,,소매,장식품 소매,기념품점,기념품; 관광 민예품 및 장식용품 소매업,경주시,47130630,동천동,동천동,경상북도 경주시 북천길 39,129.2222735,35.8528031
MA0101202310A0027123,옥스펜션나,,숙박,일반 숙박,펜션,민박업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포로 351-1,129.5100047,35.81841975
MA0101202310A0088567,마시멜로,,과학·기술,광고,광고 대행업,광고 대행업,경주시,47130650,불국동,마동,경상북도 경주시 광산길 153-176,129.3168735,35.78104159
MA0101202310A0089027,야옹아놀자,,소매,애완동물·용품 소매,애완동물/애완용품 소매업,애완 동물 장묘 및 보호 서비스업,경주시,47130550,성건동,성건동,경상북도 경주시 화랑로22번길 9,129.2030924,35.84398384
MA0101202311A0058750,이쁘다,,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 1058-7,129.2103092,35.83566075
MA0101202310A0022698,왔다생선구이,,음식,한식,해산물 구이/찜,한식 해산물 요리 전문점,경주시,47130621,황성동,황성동,경상북도 경주시 용담로116번길 49-4,129.2118935,35.86878999
MA0101202311A0073649,일품양평해장국,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130605,월성동,구황동,경상북도 경주시 분황로 101,129.2325849,35.84161917
MA0101202311A0085635,주돈,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,경주시,47130530,황오동,노동동,경상북도 경주시 봉황로 34,129.2102003,35.84250169
MA0101202310A0069290,솜마나,,숙박,일반 숙박,펜션,민박업,경주시,47130650,불국동,마동,경상북도 경주시 새골1길 15-7,129.3071931,35.78851716
MA0101202406A0441152,라구스힐풀빌라펜션,,숙박,일반 숙박,펜션,민박업,경주시,47130660,보덕동,천군동,경상북도 경주시 천군1길 8-22,129.2752013,35.83467444
MA0101202310A0034444,명안재,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,경주시,47130570,황남동,사정동,경상북도 경주시 첨성로 35-9,129.2059103,35.83384942
MA0101202311A0050342,태향상회,,소매,식료품 소매,건어물/젓갈 소매업,건어물 및 젓갈류 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 입실시장길 8-3,129.3261834,35.71496014
MA0101202311A0035382,날마다푸드,,음식,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,경주시,47130630,동천동,동천동,경상북도 경주시 동천로 12-2,129.225336,35.84912421
MA0101202406A0523212,경주한옥풀빌라펜션지섬,,숙박,일반 숙박,펜션,민박업,경주시,47130330,내남면,내남면,경상북도 경주시 내남면 반구대로 3532,129.2038283,35.79016868
MA0101202311A0072135,복운식당,,음식,구내식당·뷔페,구내식당,기관 구내식당업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 석계산업단지길 57-41,129.3069404,35.66485419
MA0101202406A0423297,어반파크캠핑장,,숙박,일반 숙박,캠핑/글램핑,기타 일반 및 생활 숙박시설 운영업,경주시,47130615,용강동,용강동,경상북도 경주시 다불로 195-10,129.2360139,35.86481119
MA0101202310A0002369,코발트에이치엑스,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,경주시,47130590,선도동,충효동,경상북도 경주시 충효녹지길 108-9,129.1797649,35.84482393
MA0101202310A0073429,런던로스트볼팩토리,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130650,불국동,시래동,경상북도 경주시 영불로 38,129.3117314,35.77072465
MA0101202310A0040513,끼룩끼룩,,숙박,일반 숙박,펜션,민박업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 대밑길 26-1,129.4871953,35.74714787
MA0101202310A0002230,경주아화전통국수,동천점,음식,한식,국수/칼국수,한식 면 요리 전문점,경주시,47130630,동천동,동천동,경상북도 경주시 알천북로233번길 5,129.2243256,35.84900777
MA0101202310A0039184,쉐르빌,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 새터흥림길 51,129.2921757,35.9157413
MA0101202311A0055807,해동상회,,소매,식료품 소매,곡물/곡분 소매업,곡물; 곡분 및 가축 사료 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 입실시장길 8-3,129.3261834,35.71496014
MA0101202406A0000732,쌍용유통,,소매,종합 소매,슈퍼마켓,슈퍼마켓,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 화전길 71,129.211096,35.99166061
MA0101202406A0036548,황해도순대,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 237,129.2239182,35.85383588
MA0101202311A0044308,서경주인력,,시설관리·임대,고용 알선,고용 알선업,고용 알선업,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 내서로 1150-1,129.1054808,35.84678879
MA0101202311A0026801,패밀리마트,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,경주시,47130550,성건동,성건동,경상북도 경주시 북성로 29,129.2050301,35.84761554
MA0101202406A0073676,고향마을,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 양남로 73,129.4509393,35.66226014
MA0101202406A0232718,대왕삼계탕,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 입실로3길 30-1,129.3235132,35.71546227
MA0101202406A0162363,299카페,,음식,비알코올 ,카페,커피 전문점,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 나정길 3,129.4938101,35.77458136
MA0101202406A0487272,국밥제작소,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130615,용강동,용강동,경상북도 경주시 용황로6길 8,129.2250348,35.88228803
MA0101202406A0142830,초이초이브런치카페,,음식,비알코올 ,카페,커피 전문점,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포로2길 54-3,129.5027112,35.80175045
MA0101202406A0114871,진한돼지국밥,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130370,강동면,강동면,경상북도 경주시 강동면 동해대로 166-11,129.2857687,36.0062894
MA0101202406A0316804,호경가,,숙박,일반 숙박,펜션,민박업,경주시,47130530,황오동,성동동,경상북도 경주시 양정로130번길 8-6,129.2213607,35.84547649
MA0101202406A0473594,국밥집,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 비화원로 52,129.2269428,35.99059248
MA0101202406A0187467,지에스25경주고속점,,소매,종합 소매,편의점,체인화 편의점,경주시,47130530,황오동,노서동,경상북도 경주시 태종로 693,129.2039416,35.83867912
MA0101202310A0059991,성이김밥,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130615,용강동,용강동,경상북도 경주시 승삼1길 25-2,129.2296993,35.87884964
MA0101202308A0020262,올레노래연습장,,예술·스포츠,유원지·오락,노래방,노래 연습장 운영업,경주시,47130615,용강동,용강동,경상북도 경주시 용황구획3길 32,129.22709,35.88134889
MA0101202308A0004737,피포,,음식,비알코올 ,카페,커피 전문점,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 1058-7,129.2103092,35.83566075
MA0101202308A0091963,얌얌용강,두산위브점,소매,종합 소매,슈퍼마켓,빵류; 과자류 및 당류 소매업,경주시,47130615,용강동,용강동,경상북도 경주시 유림로 107,129.222519,35.86833249
MA0101202308A0028854,바로그의원경주점,,보건의료,의원,피부/비뇨기과 의원,일반의원,경주시,47130530,황오동,성동동,경상북도 경주시 원화로 271,129.2169381,35.84482836
MA0101202308A0101076,워니유니나,,숙박,일반 숙박,펜션,민박업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 경감로 2643-4,129.460574,35.78961031
MA0101202308A0050880,안강회타운,,음식,한식,횟집,한식 해산물 요리 전문점,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 비화동길 16,129.2250814,35.99063604
MA0101202310A0052852,숲결2,,숙박,일반 숙박,펜션,민박업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 목실길 14-67,129.2716882,35.87326003
MA0101202309A0018705,문화주유소,,소매,연료 소매,주유소,운송장비용 주유소 운영업,경주시,47130621,황성동,황성동,경상북도 경주시 원화로 401,129.21892,35.85637917
MA0101202310A0016622,배동가옥,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130570,황남동,배동,경상북도 경주시 포석로 816-34,129.2120634,35.81315635
MA0101202309A0054792,비에이치씨산내점,,음식,기타 간이,치킨,치킨 전문점,경주시,47130340,산내면,산내면,경상북도 경주시 산내면 의곡중앙길 35-3,129.0468022,35.75843388
MA0101202308A0026645,금수저삼겹679,용강점,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,경주시,47130615,용강동,용강동,경상북도 경주시 용황구획3길 47,129.2280373,35.88235849
MA0101202309A0041495,두류글로벌,,시설관리·임대,고용 알선,임시/일용 인력 공급업,임시 및 일용 인력 공급업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 구부랑길 31-1,129.1962153,36.00039473
MA0101202310A0081539,자림,,숙박,일반 숙박,호텔/리조트,호텔업,경주시,47130630,동천동,동천동,경상북도 경주시 알천북로 311,129.2317414,35.84508583
MA0101202308A0016192,비스트로사계,,음식,서양식,경양식,서양식 음식점업,경주시,47130530,황오동,서부동,경상북도 경주시 북성로 59,129.2082738,35.84765506
MA0101202308A0028484,동원갤러리,,교육,기타 교육,기타 기술/직업 훈련학원,기타 기술 및 직업 훈련학원,경주시,47130330,내남면,내남면,경상북도 경주시 내남면 포석로 242-58,129.206639,35.76142754
MA0101202308A0031399,캘러웨이경주모아점,,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4894,129.242723,35.91351304
MA0101202308A0032931,고려갤러리,,소매,장식품 소매,예술품 소매업,예술품 및 골동품 소매업,경주시,47130340,산내면,산내면,경상북도 경주시 산내면 단석로 1069,129.0516648,35.78332905
MA0101202308A0104281,엔오에이치제이프로뷰티,,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로319번길 36-1,129.2030483,35.84639044
MA0101202308A0000249,대원사추모공원,,수리·개인,장례식장 ,화장터/묘지/납골당,화장터 운영; 묘지 분양 및 관리업,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 명주길 864-5,129.3850311,35.74326216
MA0101202308A0048145,동해해물아구찜경주점,,음식,한식,해산물 구이/찜,한식 일반 음식점업,경주시,47130621,황성동,황성동,경상북도 경주시 용담로54번길 7,129.2156553,35.8631522
MA0101202308A0051574,토르조명,,소매,기타 생활용품 소매,전기용품/조명장치 소매업,전기용품 및 조명장치 소매업,경주시,47130630,동천동,동천동,경상북도 경주시 초당길129번길 14,129.232066,35.84798115
MA0101202307A0044990,화천월지,,숙박,일반 숙박,펜션,민박업,경주시,47130650,불국동,마동,경상북도 경주시 갓거랑길 63,129.322134,35.79158124
MA0101202308A0003859,농부푸드,,소매,식료품 소매,채소/과일 소매업,채소; 과실 및 뿌리작물 소매업,경주시,47130360,현곡면,현곡면,경상북도 경주시 현곡면 용담로 672-8,129.1649086,35.8979392
MA0101202308A0038539,세사리빙,천북점,소매,섬유·의복·신발 소매,침구류/커튼 소매업,가정용 직물제품 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4886,129.2423453,35.91269115
MA0101202308A0022566,리베르,,숙박,일반 숙박,펜션,민박업,경주시,47130650,불국동,구정동,경상북도 경주시 하동1길 45-10,129.3089089,35.79392644
MA0101202308A0065816,현대사진관,,과학·기술,사진 촬영,사진촬영업,인물 사진 및 행사용 영상 촬영업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 비화동길 5-3,129.2255726,35.99154597
MA0101202309A0061215,꾸브라꼬숯불두마리치킨,,음식,기타 간이,치킨,치킨 전문점,경주시,47130550,성건동,성건동,경상북도 경주시 한빛길10번길 41,129.2056348,35.85426316
MA0101202308A0033800,한옥스테이풍경,,숙박,일반 숙박,펜션,민박업,경주시,47130570,황남동,사정동,경상북도 경주시 국당3길 20-2,129.2081272,35.82760047
MA0101202309A0004542,영주상회,,소매,식료품 소매,채소/과일 소매업,채소; 과실 및 뿌리작물 소매업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 안강시장길 25-2,129.2224569,35.99035133
MA0101202308A0039092,황남탕후루,,음식,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 1072,129.2097702,35.83657172
MA0101202307A0032372,탑코인노래연습장,,예술·스포츠,유원지·오락,노래방,노래 연습장 운영업,경주시,47130550,성건동,석장동,경상북도 경주시 석장1길 16-7,129.1900927,35.86301743
MA0101202309A0059790,솜마가,,숙박,일반 숙박,펜션,민박업,경주시,47130650,불국동,마동,경상북도 경주시 새골1길 13-12,129.3074399,35.78863857
MA0101202309A0027866,달이머무는집,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 행정길 61-6,129.1216657,35.81746274
MA0101202308A0102523,새알심,,음식,한식,국수/칼국수,한식 면 요리 전문점,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 295,129.2067435,35.84395286
MA0101202308A0049695,동대쇠전뭉티기,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 418,129.2070132,35.85487758
MA0101202309A0059721,그린피플,,시설관리·임대,고용 알선,임시/일용 인력 공급업,임시 및 일용 인력 공급업,경주시,47130650,불국동,시래동,경상북도 경주시 구매3길 19-8,129.3061478,35.77301241
